1,2,3,4,5,6,7,8,9,10,11,12,company,Revenue,yoy_growth,pci,Q2,Q3,Q4,actual_quarter,quarter,Price,sp_index_change
0.262135922,0.097087379,0.029126214,0.038834951,0.029126214,0.067961165,0.009708738,0.029126214,0.067961165,0.184466019,0.145631068,0.038834951,Costco,32.22,0.143364088,0.827531738,1,0,0,2012Q2,2012Q2,0.03442457,-0.040083437
0.236641221,0.091603053,0.022900763,0.06870229,0.030534351,0.122137405,0.015267176,0.022900763,0.045801527,0.221374046,0.099236641,0.022900763,Costco,24.87,0.082716587,0.03604047,0,0,1,2012Q4,2012Q4,-0.017781889,-0.012668831
0.211764706,0.094117647,0.035294118,0.047058824,0.035294118,0.094117647,0.011764706,0.011764706,0.047058824,0.270588235,0.094117647,0.047058824,Costco,24.08,0.078853047,0.590329876,0,0,0,2013Q1,2013Q1,0.04592668,0.073009122
0.153846154,0.057692308,0.057692308,0.038461538,0.057692308,0.134615385,0.048076923,0.028846154,0.067307692,0.25,0.067307692,0.038461538,Costco,32.49,0.008379888,0.540980612,1,0,0,2013Q2,2013Q2,0.044913103,0.028236364
0.172839506,0.086419753,0.030864198,0.055555556,0.049382716,0.104938272,0.024691358,0.012345679,0.018518519,0.277777778,0.12345679,0.043209877,Costco,26.31,0.057901086,-0.279067646,0,0,1,2013Q4,2013Q4,0.034947444,0.090477876
0.193181818,0.068181818,0.034090909,0.068181818,0.056818182,0.102272727,0.022727273,0.045454545,0.011363636,0.227272727,0.136363636,0.034090909,Costco,26.87,0.073940847,0.114675844,0,1,0,2014Q3,2014Q3,0.085555754,-0.000521963
0.225352113,0.126760563,0.028169014,0.028169014,0.028169014,0.098591549,0.014084507,0.042253521,0.028169014,0.23943662,0.126760563,0.014084507,Costco,27.45,0.043329532,-0.803351757,0,0,1,2014Q4,2014Q4,0.136137794,0.057929461
0.226415094,0.056603774,0.037735849,0.066037736,0.08490566,0.113207547,0.018867925,0.037735849,0.018867925,0.226415094,0.08490566,0.028301887,Costco,26.1,0.012020163,-0.543199002,0,0,0,2015Q1,2015Q1,0.105274677,0.004707997
0.215517241,0.086206897,0.060344828,0.060344828,0.043103448,0.060344828,0.043103448,0.034482759,0.051724138,0.224137931,0.103448276,0.017241379,Costco,35.78,0.00731982,1.205595644,1,0,0,2015Q2,2015Q2,-0.101038339,0.001660444
0.284482759,0.086206897,0.034482759,0.025862069,0.051724138,0.043103448,0.025862069,0.034482759,0.043103448,0.198275862,0.120689655,0.051724138,Costco,27.22,0.013025679,0.262677374,0,1,0,2015Q3,2015Q3,0.059198476,-0.075762244
0.157407407,0.12962963,0.046296296,0.046296296,0.074074074,0.037037037,0.046296296,0.074074074,0.018518519,0.231481481,0.083333333,0.055555556,Costco,28.17,0.026229508,-0.449843688,0,0,1,2015Q4,2015Q4,0.117183177,0.062438274
0.181034483,0.137931034,0.060344828,0.060344828,0.068965517,0.086206897,0.051724138,0.017241379,0.025862069,0.206896552,0.051724138,0.051724138,Costco,26.77,0.025670498,0.064634066,0,0,0,2016Q1,2016Q1,-0.01228532,0.023391929
0.299212598,0.157480315,0.015748031,0.031496063,0.007874016,0.023622047,0.023622047,0.062992126,0.015748031,0.212598425,0.102362205,0.047244094,Costco,36.56,0.021799888,1.172350557,1,0,0,2016Q2,2016Q2,-0.00764613,0.012582136
0.3,0.1,0.025,0.025,0.025,0.0375,0.05,0.05,0,0.2625,0.1125,0.0125,Costco,28.1,0.03232917,0.332681941,0,1,0,2016Q3,2016Q3,-0.023060662,0.031061128
0.223300971,0.126213592,0.048543689,0.058252427,0.048543689,0.038834951,0.009708738,0.029126214,0.019417476,0.223300971,0.116504854,0.058252427,Costco,29.77,0.056798012,0.222574197,0,0,1,2016Q4,2016Q4,0.06026091,0.035919859
0.229357798,0.119266055,0.027522936,0.027522936,0.064220183,0.082568807,0.018348624,0.055045872,0.018348624,0.183486239,0.128440367,0.04587156,Costco,28.86,0.078072469,0.790736963,0,0,0,2017Q1,2017Q1,0.049834095,0.046456111
0.222222222,0.136752137,0.017094017,0.025641026,0.051282051,0.085470085,0.068376068,0.017094017,0.017094017,0.205128205,0.068376068,0.085470085,Costco,42.3,0.157002188,0.543517706,1,0,0,2017Q2,2017Q2,-0.040611878,0.027373624
0.192307692,0.105769231,0.028846154,0.038461538,0.096153846,0.096153846,0.057692308,0.028846154,0.009615385,0.221153846,0.115384615,0.009615385,Costco,31.81,0.13202847,0.396615691,0,1,0,2017Q3,2017Q3,0.034441506,0.037196224
0.19047619,0.136054422,0.040816327,0.020408163,0.102040816,0.074829932,0.034013605,0.040816327,0.034013605,0.25170068,0.034013605,0.040816327,Costco,33,0.108498488,0.370629636,0,0,1,2017Q4,2017Q4,0.121948279,0.057130543
0.191176471,0.102941176,0.029411765,0.044117647,0.044117647,0.044117647,0.029411765,0.029411765,0.058823529,0.308823529,0.044117647,0.073529412,Costco,32.36,0.121275121,0.88611838,0,0,0,2018Q1,2018Q1,0.000584112,-0.020379775
0.20754717,0.075471698,0.047169811,0.047169811,0.037735849,0.103773585,0.018867925,0.075471698,0.028301887,0.198113208,0.113207547,0.047169811,Costco,44.41,0.049881797,1.033075567,1,0,0,2018Q2,2018Q2,0.143529412,0.052864579
0.11827957,0.107526882,0.010752688,0.032258065,0.043010753,0.107526882,0.064516129,0.043010753,0.010752688,0.268817204,0.161290323,0.032258065,Costco,35.07,0.102483496,0.327267568,0,1,0,2018Q3,2018Q3,0.129285062,0.068679838
0.191666667,0.1,0.033333333,0.041666667,0.058333333,0.083333333,0.058333333,0.033333333,0.033333333,0.241666667,0.075,0.05,Costco,35.4,0.072727273,-0.057494736,0,0,1,2018Q4,2018Q4,-0.131855956,-0.142837116
0.171052632,0.078947368,0.013157895,0.039473684,0.092105263,0.105263158,0.026315789,0.026315789,0.052631579,0.276315789,0.078947368,0.039473684,Costco,34.74,0.07354759,0.335116034,0,0,0,2019Q1,2019Q1,0.182555187,0.129229531
0.217391304,0.014492754,0.014492754,0.028985507,0.057971014,0.101449275,0.014492754,0.072463768,0.028985507,0.217391304,0.15942029,0.072463768,Costco,47.5,0.069578924,1.198513227,1,0,0,2019Q2,2019Q2,0.082190098,0.026008043
0.070175439,0.122807018,0.035087719,0.070175439,0.070175439,0.070175439,0.070175439,0.052631579,0,0.263157895,0.122807018,0.052631579,Costco,37.04,0.056173368,0.274166008,0,1,0,2019Q3,2019Q3,0.093189148,0.004186443
0.151162791,0.069767442,0.011627907,0.081395349,0.034883721,0.093023256,0.034883721,0.058139535,0.046511628,0.220930233,0.127906977,0.069767442,Costco,39.07,0.103672316,0.213017997,0,0,1,2019Q4,2019Q4,0.035184729,0.098811326
0.153846154,0.038461538,0.051282051,0.153846154,0.051282051,0.051282051,0.012820513,0.141025641,0.051282051,0.102564103,0.115384615,0.076923077,Target,15.53,0.03052422,0.475072152,1,0,0,2010Q2,2010Q2,-0.074534161,-0.125108225
0.181818182,0.060606061,0.045454545,0.196969697,0.045454545,0.045454545,0.03030303,0.075757576,0.060606061,0.136363636,0.090909091,0.03030303,Target,20.66,0.023785927,0.294916321,0,0,1,2010Q4,2010Q4,0.124555826,0.097187326
0.166666667,0.037037037,0.074074074,0.148148148,0.055555556,0.037037037,0.074074074,0.018518519,0.148148148,0.092592593,0.092592593,0.055555556,Target,15.94,0.022450289,1.264822375,0,0,0,2011Q1,2011Q1,-0.17706105,0.04242572
