Date,Open,High,Low,Close,Adj Close,Volume
5/1/2013,77.849998,79.959999,74.82,74.839996,63.008984,162295100
6/1/2013,75.059998,76.870003,72.900002,74.489998,63.090469,162608600
7/1/2013,74.989998,78.690002,74.089996,77.940002,66.01252,113025400
8/1/2013,78.419998,79,72.230003,72.980003,61.811565,133848900
9/1/2013,73.480003,76.730003,72.190002,73.959999,63.02198,124109700
10/1/2013,73.870003,77.629997,71.510002,76.75,65.399345,150995900
11/1/2013,76.970001,81.349998,76.589996,81.010002,69.029327,113143600
12/1/2013,80.889999,81.370003,76.809998,78.690002,67.052475,117743800
1/1/2014,78.720001,79.470001,73.639999,74.68,64.005928,146048800
2/1/2014,74.190002,75.989998,72.269997,74.699997,64.023079,140708800
3/1/2014,74.489998,77.529999,73.830002,76.43,65.505806,143316900
4/1/2014,76.760002,79.989998,76.290001,79.709999,68.757721,133598600
5/1/2014,79.730003,79.760002,75.239998,76.769997,66.22168,121597900
6/1/2014,76.580002,77.760002,74.669998,75.07,65.156197,125875700
7/1/2014,75.269997,77.57,73.540001,73.580002,63.862957,120165500
8/1/2014,73.32,76.199997,72.769997,75.5,65.529396,114715100
9/1/2014,75.419998,77.730003,75.410004,76.470001,66.808556,120321400
10/1/2014,76.510002,79.370003,72.610001,76.269997,66.633827,177386600
11/1/2014,76.349998,88.089996,75.589996,87.540001,76.479935,159253200
12/1/2014,86.720001,87.440002,82.650002,85.879997,75.029678,138945800
1/1/2015,86.269997,90.970001,84.900002,84.980003,74.658157,158927700
2/1/2015,84.790001,88,82.550003,83.93,73.735695,138540500
3/1/2015,83.93,84,80.540001,82.25,72.259735,142533000
4/1/2015,82.279999,82.279999,77.550003,78.050003,68.98175,143685100
5/1/2015,78.199997,79.940002,74.150002,74.269997,65.640892,151125700
6/1/2015,74.690002,75.199997,70.779999,70.93,63.084606,176565700
7/1/2015,71.599998,74.139999,70.360001,71.980003,64.018486,150420400
8/1/2015,71.839996,73.690002,61.5,64.730003,57.570385,227361100
9/1/2015,63.799999,67.010002,62.919998,64.839996,58.061989,190814000
10/1/2015,64.760002,67.949997,57.16,57.240002,51.256454,347169000
11/1/2015,57.290001,61.470001,56.299999,58.84,52.689198,224629400
12/1/2015,59.130001,61.869999,58.32,61.299999,54.892044,226975100
1/1/2016,60.5,66.529999,60.200001,66.360001,59.920837,264665800
2/1/2016,65.910004,68.199997,62.349998,66.339996,59.902771,263102700
3/1/2016,66.650002,69.190002,64.879997,68.489998,61.844154,203107900
4/1/2016,68.019997,70.080002,66.360001,66.870003,60.828354,141253600
5/1/2016,66.620003,71.379997,62.720001,70.779999,64.385086,232976200
6/1/2016,70.5,73.190002,70.150002,73.019997,66.909019,185919600
7/1/2016,73.129997,74.349998,72.419998,72.970001,66.863213,137723500
8/1/2016,72.809998,75.190002,70.889999,71.440002,65.461258,212460000
9/1/2016,71.57,73.190002,70.300003,72.120003,66.536728,176983900
10/1/2016,71.830002,72.57,67.07,70.019997,64.599304,170716200
11/1/2016,69.980003,72.089996,68.120003,70.43,64.977562,210370600
12/1/2016,70.25,72.480003,68.830002,69.120003,63.768974,162527500
