"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2020","313.26","306.20","313.34","305.76","3.59M","2.82%"
"Jan 17, 2020","304.68","303.40","305.30","303.03","2.51M","0.54%"
"Jan 16, 2020","303.03","301.39","304.06","300.98","1.76M","0.73%"
"Jan 15, 2020","300.82","298.35","301.04","298.04","1.60M","0.36%"
"Jan 14, 2020","299.75","299.25","301.00","298.58","1.46M","-0.04%"
"Jan 13, 2020","299.87","296.92","300.65","296.80","1.78M","0.88%"
"Jan 10, 2020","297.24","300.00","300.27","296.66","2.03M","-0.73%"
"Jan 09, 2020","299.42","298.55","301.96","297.71","3.26M","1.61%"
"Jan 08, 2020","294.69","290.99","295.48","290.50","2.50M","1.15%"
"Jan 07, 2020","291.35","291.32","291.69","289.28","1.97M","-0.16%"
"Jan 06, 2020","291.81","290.55","292.07","288.62","2.66M","0.03%"
"Jan 03, 2020","291.73","290.05","292.90","289.33","1.93M","0.08%"
"Jan 02, 2020","291.49","294.06","294.58","291.00","2.05M","-0.83%"
"Dec 31, 2019","293.92","295.00","295.45","292.18","1.55M","-0.41%"
"Dec 30, 2019","295.14","294.20","295.61","293.66","1.24M","0.35%"
"Dec 27, 2019","294.11","296.22","296.30","293.18","1.44M","-0.55%"
"Dec 26, 2019","295.73","294.49","295.73","293.90","1.10M","0.51%"
"Dec 24, 2019","294.23","293.91","294.45","293.36","543.58K","0.31%"
"Dec 23, 2019","293.31","294.91","295.31","293.03","1.31M","-0.52%"
"Dec 20, 2019","294.83","293.85","295.02","292.78","4.87M","0.38%"
"Dec 19, 2019","293.71","292.06","293.81","291.50","2.60M","0.63%"
"Dec 18, 2019","291.87","295.99","296.36","291.82","3.31M","-1.25%"
"Dec 17, 2019","295.55","293.50","296.30","292.75","2.47M","0.70%"
"Dec 16, 2019","293.50","293.03","294.46","292.85","2.41M","0.56%"
"Dec 13, 2019","291.87","294.64","295.00","289.10","5.20M","-1.84%"
"Dec 12, 2019","297.34","295.27","297.76","294.12","2.75M","0.69%"
"Dec 11, 2019","295.30","296.00","296.35","293.05","1.75M","-0.16%"
"Dec 10, 2019","295.78","296.03","296.69","294.55","1.57M","0.21%"
"Dec 09, 2019","295.16","295.00","297.19","294.55","1.99M","0.07%"
"Dec 06, 2019","294.94","294.98","295.99","294.26","1.46M","0.63%"
"Dec 05, 2019","293.10","297.13","297.13","292.50","1.94M","-1.15%"
"Dec 04, 2019","296.52","296.04","297.16","295.15","1.74M","0.29%"
"Dec 03, 2019","295.67","295.13","296.19","292.70","1.96M","-0.58%"
"Dec 02, 2019","297.39","299.75","300.20","294.27","2.71M","-0.81%"
"Nov 29, 2019","299.81","300.82","300.89","299.66","981.61K","-0.32%"
"Nov 27, 2019","300.76","301.82","302.79","300.57","1.91M","-0.16%"
"Nov 26, 2019","301.24","299.26","301.35","298.82","3.36M","0.73%"
"Nov 25, 2019","299.05","300.29","300.63","297.55","1.61M","-0.09%"
"Nov 22, 2019","299.31","301.94","301.94","297.23","1.28M","-0.32%"
"Nov 21, 2019","300.27","300.69","301.87","299.52","1.30M","-0.10%"
"Nov 20, 2019","300.57","302.44","303.17","298.01","1.98M","-0.55%"
"Nov 19, 2019","302.24","304.50","304.64","301.45","1.76M","-0.76%"
"Nov 18, 2019","304.54","303.11","306.38","302.75","1.24M","0.29%"
"Nov 15, 2019","303.66","305.31","305.44","301.60","1.71M","-0.31%"
"Nov 14, 2019","304.59","304.39","305.89","302.26","1.34M","0.56%"
"Nov 13, 2019","302.90","300.18","304.00","299.52","1.55M","0.80%"
"Nov 12, 2019","300.50","300.83","302.73","298.66","1.54M","-0.11%"
"Nov 11, 2019","300.84","301.55","302.33","299.70","1.16M","-0.59%"
"Nov 08, 2019","302.62","302.74","304.29","301.28","1.50M","-0.85%"
"Nov 07, 2019","305.21","303.93","307.10","302.48","2.40M","1.21%"
"Nov 06, 2019","301.57","299.97","301.65","297.93","1.68M","0.80%"
"Nov 05, 2019","299.18","297.09","299.69","295.81","2.20M","0.80%"
"Nov 04, 2019","296.82","297.16","298.22","295.17","1.65M","0.25%"
"Nov 01, 2019","296.09","297.99","298.42","295.50","1.36M","-0.34%"
"Oct 31, 2019","297.11","298.36","299.62","294.55","2.28M","-0.91%"
"Oct 30, 2019","299.84","296.92","300.25","295.97","1.26M","1.35%"
"Oct 29, 2019","295.86","298.21","298.94","295.81","1.30M","-1.03%"
"Oct 28, 2019","298.94","295.70","299.09","295.21","1.67M","0.82%"
"Oct 25, 2019","296.50","295.52","297.25","295.11","1.69M","-0.19%"
"Oct 24, 2019","297.05","295.05","298.28","294.56","2.12M","-0.09%"
"Oct 23, 2019","297.32","299.58","300.05","297.18","1.81M","-0.88%"
"Oct 22, 2019","299.97","301.61","304.88","299.95","1.97M","-0.37%"
"Oct 21, 2019","301.08","303.00","303.51","300.17","1.40M","-0.59%"
"Oct 18, 2019","302.86","302.00","304.00","300.98","1.85M","0.15%"
"Oct 17, 2019","302.40","298.85","302.61","298.85","1.81M","1.21%"
"Oct 16, 2019","298.78","296.80","298.97","295.08","1.83M","0.13%"
"Oct 15, 2019","298.39","298.32","299.64","297.23","1.60M","0.29%"
"Oct 14, 2019","297.52","298.00","300.34","297.50","1.31M","-0.03%"
"Oct 11, 2019","297.60","298.07","300.76","297.36","1.89M","0.15%"
"Oct 10, 2019","297.14","298.63","299.48","296.26","1.72M","0.08%"
"Oct 09, 2019","296.90","293.11","298.57","293.11","2.29M","1.72%"
"Oct 08, 2019","291.89","292.95","295.58","290.45","2.22M","-0.52%"
