,company,Revenue,yoy_growth,reporting_quarter,actual_quarter
182,Target,17.61,0.02086956521739136,2015Q4,2015Q3
84,Amazon,29.13,0.28213028169014076,2016Q1,2015Q4
183,Target,21.63,-0.0055172413793104225,2016Q1,2015Q4
133,Costco,28.17,0.02622950819672143,2016Q1,2015Q4
233,Kroger,26.16,0.037683458944863135,2016Q1,2015Q4
33,Walmart,129.67,-0.014366068713894897,2016Q1,2015Q4
234,Kroger,34.6,0.04689863842662656,2016Q2,2016Q1
134,Costco,26.77,0.025670498084291005,2016Q2,2016Q1
34,Walmart,115.9,0.00931812244187058,2016Q2,2016Q1
184,Target,16.2,-0.053738317757009435,2016Q2,2016Q1
85,Amazon,30.4,0.3114754098360655,2016Q2,2016Q1
235,Kroger,26.56,0.039937353171495715,2016Q3,2016Q2
185,Target,16.17,-0.07228915662650592,2016Q3,2016Q2
135,Costco,36.56,0.021799888205701556,2016Q3,2016Q2
86,Amazon,32.71,0.289826498422713,2016Q3,2016Q2
35,Walmart,120.85,0.00515678283290355,2016Q3,2016Q2
36,Walmart,118.18,0.006558214802827811,2016Q4,2016Q3
236,Kroger,26.56,0.05901116427432229,2016Q4,2016Q3
136,Costco,28.1,0.03232916972814115,2016Q4,2016Q3
87,Amazon,43.74,0.22349650349650352,2016Q4,2016Q3
186,Target,16.44,-0.06643952299829636,2016Q4,2016Q3
37,Walmart,130.94,0.009794092696845835,2017Q1,2016Q4
237,Kroger,27.61,0.055428134556574804,2017Q1,2016Q4
187,Target,21.47,-0.0073971336107258034,2017Q1,2016Q4
88,Amazon,35.71,0.22588396841743918,2017Q1,2016Q4
137,Costco,29.77,0.056798012069577464,2017Q1,2016Q4
38,Walmart,117.54,0.014150129421915514,2017Q2,2017Q1
238,Kroger,36.28,0.048554913294797775,2017Q2,2017Q1
188,Target,16.22,0.0012345679012344402,2017Q2,2017Q1
138,Costco,28.86,0.07807246918192012,2017Q2,2017Q1
89,Amazon,37.96,0.24868421052631584,2017Q2,2017Q1
189,Target,16.63,0.02844774273345685,2017Q3,2017Q2
139,Costco,42.3,0.1570021881838073,2017Q3,2017Q2
90,Amazon,43.74,0.3372057474778356,2017Q3,2017Q2
239,Kroger,27.6,0.03915662650602414,2017Q3,2017Q2
39,Walmart,123.36,0.020769549027720435,2017Q3,2017Q2
140,Costco,31.81,0.13202846975088955,2017Q4,2017Q3
91,Amazon,60.45,0.38203017832647457,2017Q4,2017Q3
40,Walmart,123.18,0.042308343205279986,2017Q4,2017Q3
240,Kroger,27.75,0.044804216867469826,2017Q4,2017Q3
190,Target,16.87,0.02615571776155723,2017Q4,2017Q3
141,Costco,33.0,0.10849848841115217,2018Q1,2017Q4
241,Kroger,31.65,0.14632379572618603,2018Q1,2017Q4
41,Walmart,136.27,0.04070566671758069,2018Q1,2017Q4
191,Target,22.98,0.07033069399161618,2018Q1,2017Q4
92,Amazon,51.04,0.42929151498179774,2018Q1,2017Q4
192,Target,16.78,0.034525277435265345,2018Q2,2018Q1
42,Walmart,122.69,0.043814871533095046,2018Q2,2018Q1
242,Kroger,37.72,0.03969128996692395,2018Q2,2018Q1
93,Amazon,52.89,0.3933087460484721,2018Q2,2018Q1
142,Costco,32.36,0.1212751212751213,2018Q2,2018Q1
94,Amazon,56.58,0.29355281207133044,2018Q3,2018Q2
193,Target,17.78,0.06915213469633197,2018Q3,2018Q2
243,Kroger,28.01,0.01485507246376816,2018Q3,2018Q2
43,Walmart,128.03,0.037856679636835366,2018Q3,2018Q2
143,Costco,44.41,0.049881796690307345,2018Q3,2018Q2
144,Costco,35.07,0.10248349575605165,2018Q4,2018Q3
95,Amazon,72.38,0.19735318444995853,2018Q4,2018Q3
44,Walmart,124.89,0.01388212372138331,2018Q4,2018Q3
244,Kroger,27.83,0.0028828828828828534,2018Q4,2018Q3
194,Target,17.82,0.056312981624184966,2018Q4,2018Q3
96,Amazon,59.7,0.1696708463949843,2019Q1,2018Q4
145,Costco,35.4,0.07272727272727275,2019Q1,2018Q4
245,Kroger,28.29,-0.10616113744075828,2019Q1,2018Q4
195,Target,22.98,0.0,2019Q1,2018Q4
45,Walmart,138.79,0.018492698319512613,2019Q1,2018Q4
246,Kroger,37.25,-0.01246023329798518,2019Q2,2019Q1
97,Amazon,63.4,0.19871431272452256,2019Q2,2019Q1
196,Target,17.63,0.050655542312276314,2019Q2,2019Q1
46,Walmart,123.92,0.010025266932920385,2019Q2,2019Q1
146,Costco,34.74,0.07354758961681096,2019Q2,2019Q1
147,Costco,47.5,0.06957892366584106,2019Q3,2019Q2
247,Kroger,28.17,0.005712245626561918,2019Q3,2019Q2
98,Amazon,69.98,0.23683280311063992,2019Q3,2019Q2
197,Target,18.42,0.03599550056242973,2019Q3,2019Q2
47,Walmart,130.38,0.018355073029758584,2019Q3,2019Q2
248,Kroger,27.97,0.005030542579949726,2019Q4,2019Q3
198,Target,18.66,0.047138047138047146,2019Q4,2019Q3
99,Amazon,87.44,0.20806852721746338,2019Q4,2019Q3
148,Costco,37.04,0.056173367550613085,2019Q4,2019Q3
48,Walmart,127.99,0.02482184322203529,2019Q4,2019Q3
199,Target,23.4,0.018276762402088753,2020Q1,2019Q4
49,Walmart,141.67,0.020750774551480555,2020Q1,2019Q4
149,Costco,39.07,0.10367231638418084,2020Q1,2019Q4
249,Kroger,28.89,0.021208907741251393,2020Q1,2019Q4
